origin_ym,target_ym,port,history_n,enough_history,next_history_n,empty_in,empty_out,throughput,empty_net,roll3_empty_net,positive_net_streak,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,pressure_index,next_high_pressure_flag,next_pressure_status,eligible_official,eligible_warmup,window,window_note,model,model_note,forecast_score,rank_within_origin,top1_flag,top2_flag
202508,202509,臺北港,8,TRUE,9,3206,6951,117768.5,-3745,-3562.6666666666665,0,0.02722289916233967,0,0,0.03142857142857142,FALSE,非高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.03142857142857142,4,FALSE,FALSE
202509,202510,臺中港,9,TRUE,10,11343,6864,126648.75,4479,5638.666666666667,9,0.08956266840375447,0.03536552867675362,0.04452208700572779,0.59,TRUE,高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.89,1,TRUE,TRUE
202509,202510,臺北港,9,TRUE,10,7833,4980,107584.75,2853,-1707.3333333333337,1,0.07280771670706118,0.02651862833719463,0,0.615,FALSE,非高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.665,2,FALSE,TRUE
202509,202510,高雄港,9,TRUE,10,63211,54976,695856.25,8235,11602.666666666666,9,0.09083916397962942,0.01183434078518372,0.01667394187616575,0.0775,TRUE,高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.37750000000000006,3,FALSE,FALSE
202509,202510,基隆港,9,TRUE,10,2329,35041,134993,-32712,-30749,0,0.01725274643870423,0,0,0.1375,FALSE,非高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.1375,4,FALSE,FALSE
202510,202511,高雄港,10,TRUE,11,68373,48556,704490.25,19817,13446.333333333334,10,0.0970531529712441,0.02812955892576228,0.01908661380811634,0.54,FALSE,非高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.8400000000000001,1,TRUE,TRUE
202510,202511,臺中港,10,TRUE,11,10016,5511,124361.5,4505,4850.666666666667,10,0.08053939523083913,0.03622503749150661,0.03900456867010021,0.5022222222222221,TRUE,高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.8022222222222222,2,FALSE,TRUE
202510,202511,基隆港,10,TRUE,11,2527,26836,124129.75,-24309,-29228.666666666668,0,0.0203577305198794,0,0,0.1711111111111111,FALSE,非高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.1711111111111111,3,FALSE,FALSE
202510,202511,臺北港,10,TRUE,11,4013,4440,113001,-427,-439.6666666666668,0,0.03551296006230033,0,0,0.09777777777777776,TRUE,高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.09777777777777776,4,FALSE,FALSE
202511,202512,臺北港,11,TRUE,12,7765,3736,121710.5,4029,2151.6666666666665,1,0.06379893271328275,0.03310314229257131,0.01767856238095042,0.8140000000000001,TRUE,高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.8640000000000001,1,TRUE,TRUE
202511,202512,臺中港,11,TRUE,12,10475,5543,129488.5,4932,4638.666666666667,11,0.08089521463295968,0.03808832444580021,0.03582300101295997,0.498,TRUE,高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.798,2,FALSE,TRUE
202511,202512,高雄港,11,TRUE,12,50592,49338,697826.25,1254,9768.666666666666,11,0.07249942231321908,0.00179700892593249,0.0139987090864906,0,FALSE,非高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0.30000000000000004,3,FALSE,FALSE
202511,202512,基隆港,11,TRUE,12,1350,26356,136588.25,-25006,-27342.333333333332,0,0.00988371986609389,0,0,0,FALSE,非高壓力港,TRUE,TRUE,warmup_included,暖機納入：允許 2025-02 作為來源月，但要求目標月已進入 history_n >= 3。,pressure_index_streak_boost,"在 pressure_index 上加入連續淨流入月數加權：pressure_index + 0.05 * pmin(positive_net_streak, 6)",0,4,FALSE,FALSE
